Date,Month,Year,Country,Product,Revenue,MarketingSpend,NewCustomers,ChurnRate,NPS
01/01/2023,January,2023,Spain,Basic,-716,768,12,4.58,39
01/01/2023,January,2023,Spain,Pro,16526,1029,20,2.35,63
01/01/2023,January,2023,Spain,Enterprise,40191,890,34,2.46,43
01/01/2023,January,2023,USA,Basic,4888,830,22,3.09,51
01/01/2023,January,2023,USA,Pro,13721,839,21,2.09,76
01/01/2023,January,2023,USA,Enterprise,43382,826,14,1.76,71
01/01/2023,January,2023,Germany,Basic,6017,1044,44,2.73,40
01/01/2023,January,2023,Germany,Pro,8361,922,35,2.76,64
01/01/2023,January,2023,Germany,Enterprise,33006,728,49,1.98,41
01/02/2023,February,2023,Spain,Basic,11012,480,27,2.13,40
01/02/2023,February,2023,Spain,Pro,15671,899,43,1.54,40
01/02/2023,February,2023,Spain,Enterprise,37025,930,37,1.67,37
01/02/2023,February,2023,USA,Basic,-140,766,10,4.37,43
01/02/2023,February,2023,USA,Pro,19653,946,25,1.99,55
01/02/2023,February,2023,USA,Enterprise,36075,1039,36,2.22,35
01/02/2023,February,2023,Germany,Basic,-674,706,12,4.65,76
01/02/2023,February,2023,Germany,Pro,20186,822,39,1.96,60
01/02/2023,February,2023,Germany,Enterprise,34918,829,39,3.42,43
01/03/2023,March,2023,Spain,Basic,2591,946,10,1.74,46
01/03/2023,March,2023,Spain,Pro,18999,811,16,4.12,74
01/03/2023,March,2023,Spain,Enterprise,44462,440,17,2.55,39
01/03/2023,March,2023,USA,Basic,9401,881,41,1.61,56
01/03/2023,March,2023,USA,Pro,4567,588,31,4.17,57
01/03/2023,March,2023,USA,Enterprise,49467,918,16,2.43,58
01/03/2023,March,2023,Germany,Basic,10572,609,13,3.0,60
01/03/2023,March,2023,Germany,Pro,12511,722,19,4.46,65
01/03/2023,March,2023,Germany,Enterprise,30580,753,32,4.23,67
01/04/2023,April,2023,Spain,Basic,6379,668,25,2.71,44
01/04/2023,April,2023,Spain,Pro,5888,855,41,4.81,66
01/04/2023,April,2023,Spain,Enterprise,42130,834,21,2.02,72
01/04/2023,April,2023,USA,Basic,9153,979,10,3.57,73
01/04/2023,April,2023,USA,Pro,13887,786,32,4.5,67
01/04/2023,April,2023,USA,Enterprise,30267,1176,28,1.32,35
01/04/2023,April,2023,Germany,Basic,5216,1097,33,1.56,47
01/04/2023,April,2023,Germany,Pro,16906,807,27,2.97,70
01/04/2023,April,2023,Germany,Enterprise,32964,657,43,1.2,53
01/05/2023,May,2023,Spain,Basic,9395,805,24,2.49,79
01/05/2023,May,2023,Spain,Pro,7173,740,42,1.21,50
01/05/2023,May,2023,Spain,Enterprise,42061,620,28,4.32,55
01/05/2023,May,2023,USA,Basic,4624,1059,19,2.77,67
01/05/2023,May,2023,USA,Pro,17480,1117,42,2.83,57
01/05/2023,May,2023,USA,Enterprise,41921,827,47,1.09,42
01/05/2023,May,2023,Germany,Basic,12497,910,38,3.21,40
01/05/2023,May,2023,Germany,Pro,15310,710,44,4.8,42
01/05/2023,May,2023,Germany,Enterprise,51883,574,35,1.76,30
01/06/2023,June,2023,Spain,Basic,8571,636,44,3.06,32
01/06/2023,June,2023,Spain,Pro,16499,677,23,2.32,79
01/06/2023,June,2023,Spain,Enterprise,42397,655,45,4.03,38
01/06/2023,June,2023,USA,Basic,6041,847,33,3.68,66
01/06/2023,June,2023,USA,Pro,21837,832,16,1.08,65
01/06/2023,June,2023,USA,Enterprise,40893,838,32,1.9,79
01/06/2023,June,2023,Germany,Basic,1381,1079,33,2.32,61
01/06/2023,June,2023,Germany,Pro,15393,820,31,4.44,62
01/06/2023,June,2023,Germany,Enterprise,41314,624,37,4.94,35
01/07/2023,July,2023,Spain,Basic,6415,882,10,1.15,76
01/07/2023,July,2023,Spain,Pro,10369,1245,26,4.28,75
01/07/2023,July,2023,Spain,Enterprise,40423,812,49,4.33,54
01/07/2023,July,2023,USA,Basic,7344,683,17,4.24,74
01/07/2023,July,2023,USA,Pro,23641,1072,46,1.17,49
01/07/2023,July,2023,USA,Enterprise,34111,909,11,4.16,59
01/07/2023,July,2023,Germany,Basic,-4274,833,20,4.35,38
01/07/2023,July,2023,Germany,Pro,20553,831,28,3.59,53
01/07/2023,July,2023,Germany,Enterprise,37162,732,49,1.71,44
01/08/2023,August,2023,Spain,Basic,287,792,14,3.01,70
01/08/2023,August,2023,Spain,Pro,22437,906,35,4.23,58
01/08/2023,August,2023,Spain,Enterprise,48080,928,20,3.63,71
01/08/2023,August,2023,USA,Basic,3673,1084,26,3.88,45
01/08/2023,August,2023,USA,Pro,14621,1149,21,3.26,52
01/08/2023,August,2023,USA,Enterprise,39683,1014,40,3.97,59
01/08/2023,August,2023,Germany,Basic,14477,825,35,1.1,63
01/08/2023,August,2023,Germany,Pro,5905,636,10,3.67,63
01/08/2023,August,2023,Germany,Enterprise,31016,737,40,1.1,60
01/09/2023,September,2023,Spain,Basic,6303,542,25,4.85,32
01/09/2023,September,2023,Spain,Pro,14467,856,32,1.87,68
01/09/2023,September,2023,Spain,Enterprise,44566,989,46,1.88,34
01/09/2023,September,2023,USA,Basic,-1176,668,15,3.45,47
01/09/2023,September,2023,USA,Pro,13621,920,33,2.83,66
01/09/2023,September,2023,USA,Enterprise,45787,772,30,3.26,63
01/09/2023,September,2023,Germany,Basic,5554,842,10,4.69,57
01/09/2023,September,2023,Germany,Pro,14591,756,20,3.15,57
01/09/2023,September,2023,Germany,Enterprise,47835,1069,21,2.01,38
01/10/2023,October,2023,Spain,Basic,6647,960,10,3.37,51
01/10/2023,October,2023,Spain,Pro,16366,1063,15,4.34,64
01/10/2023,October,2023,Spain,Enterprise,38649,311,12,1.48,41
01/10/2023,October,2023,USA,Basic,6741,873,38,2.59,54
01/10/2023,October,2023,USA,Pro,15165,882,13,1.79,45
01/10/2023,October,2023,USA,Enterprise,46400,615,44,4.07,69
01/10/2023,October,2023,Germany,Basic,13230,934,30,2.46,62
01/10/2023,October,2023,Germany,Pro,17743,1073,20,2.27,47
01/10/2023,October,2023,Germany,Enterprise,36466,1184,24,1.62,78
01/11/2023,November,2023,Spain,Basic,-1420,306,14,1.77,30
01/11/2023,November,2023,Spain,Pro,21611,1054,37,4.38,42
01/11/2023,November,2023,Spain,Enterprise,36815,891,20,1.39,61
01/11/2023,November,2023,USA,Basic,8193,805,10,3.66,72
01/11/2023,November,2023,USA,Pro,9058,1117,15,3.74,79
01/11/2023,November,2023,USA,Enterprise,34045,1292,45,4.31,42
01/11/2023,November,2023,Germany,Basic,12748,896,37,2.59,63
01/11/2023,November,2023,Germany,Pro,10043,588,33,2.19,63
01/11/2023,November,2023,Germany,Enterprise,36185,757,13,4.22,65
01/12/2023,December,2023,Spain,Basic,10652,1101,11,1.6,77
01/12/2023,December,2023,Spain,Pro,15549,800,11,1.12,37
01/12/2023,December,2023,Spain,Enterprise,38844,719,49,1.32,72
01/12/2023,December,2023,USA,Basic,3507,970,40,4.54,39
01/12/2023,December,2023,USA,Pro,14927,1136,41,1.88,49
01/12/2023,December,2023,USA,Enterprise,37210,1091,43,4.71,56
01/12/2023,December,2023,Germany,Basic,-3933,935,35,2.42,68
01/12/2023,December,2023,Germany,Pro,23524,608,45,4.21,64
01/12/2023,December,2023,Germany,Enterprise,37563,749,49,4.49,57
